t,x1,x2
3520,-1.7213632571063E-07,1.62643360774839E-08
3530,-1.66107853231783E-07,1.61716369883322E-08
3540,-1.60291840063087E-07,1.60653565600999E-08
3550,-1.5468075147813E-07,1.59465679379596E-08
3560,-1.49267321617982E-07,1.58162853375412E-08
3570,-1.4404454383931E-07,1.56754668759024E-08
3580,-1.39005661410965E-07,1.55250172756267E-08
3590,-1.34144158546416E-07,1.5365790447497E-08
3600,-1.29453751759823E-07,1.51985919569711E-08
3610,-1.24928381534019E-07,1.50241813794607E-08
3620,-1.20562204289063E-07,1.48432745492126E-08
3630,-1.16349584640492E-07,1.46565457063844E-08
3640,-1.12285087936733E-07,1.44646295467178E-08
3650,-1.08363473065573E-07,1.42681231780271E-08
3660,-1.04579685519926E-07,1.40675879875417E-08
3670,-1.00928850713502E-07,1.38635514239746E-08
3680,-9.74062675373074E-08,1.36565086980239E-08
3690,-9.40074021482779E-08,1.34469244048579E-08
3700,-9.07278819816057E-08,1.32352340719871E-08
3710,-8.75634899786793E-08,1.30218456357794E-08
3720,-8.45101590228196E-08,1.28071408497408E-08
3730,-8.15639665752917E-08,1.2591476627549E-08
3740,-7.87211295043426E-08,1.23751863237029E-08
3750,-7.59779991002795E-08,1.21585809545275E-08
3760,-7.3331056269858E-08,1.19419503621609E-08
3770,-7.07769069034922E-08,1.17255643240346E-08
3780,-6.83122774090383E-08,1.15096736102551E-08
3790,-6.59340104061265E-08,1.12945109911892E-08
3800,-6.36390605752383E-08,1.10802921974603E-08
3810,-6.14244906559347E-08,1.0867216834467E-08
3820,-5.9287467588847E-08,1.06554692534451E-08
3830,-5.72252587962335E-08,1.04452193810096E-08
3840,-5.52352285960992E-08,1.0236623509027E-08
3850,-5.3314834745053E-08,1.00298250465936E-08
3860,-5.14616251052549E-08,9.82495523581494E-09
3870,-4.96732344309721E-08,9.62213383301087E-09
3880,-4.79473812704292E-08,9.4214697569014E-09
3890,-4.62818649787891E-08,9.2230617052598E-09
3900,-4.46745628382572E-08,9.02699874145686E-09
3910,-4.31234272814448E-08,8.83336085225781E-09
3920,-4.16264832142658E-08,8.64221947817522E-09
3930,-4.01818254347804E-08,8.45363801762426E-09
3940,-3.87876161445255E-08,8.26767230607307E-09
3950,-3.74420825489984E-08,8.08437107132906E-09
3960,-3.61435145440825E-08,7.90377636605245E-09
3970,-3.48902624853173E-08,7.72592397854072E-09
3980,-3.36807350370295E-08,7.55084382278254E-09
3990,-3.251339709845E-08,7.3785603087356E-09
4000,-3.13867678040429E-08,7.20909269374163E-09
4010,-3.0299418595378E-08,7.04245541595148E-09
4020,-2.92499713619693E-08,6.87865841059514E-09
4030,-2.82370966486003E-08,6.71770740989476E-09
4040,-2.72595119267425E-08,6.55960422738373E-09
4050,-2.63159799277636E-08,6.40434702736126E-09
4060,-2.5405307035702E-08,6.25193058017955E-09
4070,-2.45263417374672E-08,6.1023465040302E-09
4080,-2.36779731284022E-08,5.95558349386656E-09
4090,-2.28591294712171E-08,5.81162753807083E-09
4100,-2.20687768063783E-08,5.67046212344748E-09
4110,-2.13059176121032E-08,5.53206842909879E-09
4120,-2.05695895121802E-08,5.39642550971342E-09
4130,-1.98588640298966E-08,5.26351046877529E-09
4140,-1.91728453864188E-08,5.13329862217742E-09
4150,-1.851066934203E-08,5.00576365270343E-09
4160,-1.78715020786874E-08,4.88087775581878E-09
4170,-1.72545391224164E-08,4.75861177719397E-09
4180,-1.66590043041136E-08,4.63893534236277E-09
4190,-1.60841487573804E-08,4.52181697890026E-09
4200,-1.55292499520613E-08,4.40722423148837E-09
4210,-1.49936107622045E-08,4.29512377021945E-09
4220,-1.44765585672143E-08,4.18548149247286E-09
4230,-1.39774443850041E-08,4.07826261868413E-09
4240,-1.34956420360039E-08,3.97343178231156E-09
4250,-1.30305473369189E-08,3.87095311429133E-09
4260,-1.25815773231716E-08,3.77079032225881E-09
4270,-1.21481694990036E-08,3.67290676480078E-09
4280,-1.17297811142437E-08,3.5772655209914E-09
4290,-1.13258884667919E-08,3.48382945545273E-09
4300,-1.09359862298962E-08,3.39256127916974E-09
4310,-1.05595868033376E-08,3.30342360627879E-09
4320,-1.01962196876675E-08,3.21637900703868E-09
4330,-9.84543088067336E-09,3.13139005718312E-09
4340,-9.50678229527915E-09,3.04841938384482E-09
4350,-9.17985119811292E-09,2.9674297082317E-09
4360,-8.86422966800493E-09,2.88838388522797E-09
4370,-8.55952407370337E-09,2.81124494008394E-09
4380,-8.2653545701219E-09,2.73597610235131E-09
4390,-7.98135461245723E-09,2.66254083721282E-09
4400,-7.70717048753894E-09,2.59090287434807E-09
4410,-7.44246086179665E-09,2.52102623447074E-09
4420,-7.18689634525159E-09,2.45287525366587E-09
4430,-6.94015907096106E-09,2.38641460564942E-09
4440,-6.7019422893647E-09,2.32160932206683E-09
4450,-6.47194997700121E-09,2.25842481094131E-09
4460,-6.24989645908336E-09,2.1968268733774E-09
4470,-6.03550604543729E-09,2.13678171861999E-09
4480,-5.82851267933018E-09,2.07825597756435E-09
4490,-5.62865959872682E-09,2.02121671480768E-09
4500,-5.43569900953283E-09,1.96563143932855E-09
4510,-5.2493917703974E-09,1.91146811387601E-09
4520,-5.06950708866431E-09,1.85869516314634E-09
4530,-4.89582222707437E-09,1.80728148082127E-09
4540,-4.72812222083662E-09,1.757196435538E-09
4550,-4.56619960469967E-09,1.70840987585762E-09
4560,-4.40985414966728E-09,1.6608921342953E-09
4570,-4.25889260901546E-09,1.61461403047221E-09
4580,-4.11312847328024E-09,1.56954687344625E-09
4590,-3.97238173389745E-09,1.5256624632757E-09
4600,-3.83647865518687E-09,1.48293309186682E-09
4610,-3.7052515543846E-09,1.44133154315425E-09
4620,-3.57853858943744E-09,1.40083109266006E-09
4630,-3.45618355428405E-09,1.36140550647524E-09
4640,-3.33803568135671E-09,1.32302903970474E-09
4650,-3.22394945104767E-09,1.28567643441536E-09
4660,-3.1137844078929E-09,1.24932291712338E-09
4670,-3.00740498323483E-09,1.21394419585703E-09
4680,-2.9046803241343E-09,1.17951645682685E-09
4690,-2.80548412831029E-09,1.14601636073524E-09
4700,-2.70969448489341E-09,1.1134210387549E-09
4710,-2.61719372078743E-09,1.08170808820392E-09
4720,-2.52786825243982E-09,1.05085556794403E-09
4730,-2.44160844282987E-09,1.02084199352686E-09
4740,-2.35830846348947E-09,9.91646332111659E-10
4750,-2.27786616137841E-09,9.63247997176673E-10
4760,-2.20018293044222E-09,9.35626843044946E-10
4770,-2.12516358768693E-09,9.0876315924426E-10
4780,-2.05271625361079E-09,8.82637664719653E-10
4790,-1.98275223683892E-09,8.57231501915896E-10
4800,-1.9151859228121E-09,8.32526230746293E-10
4810,-1.84993466638638E-09,8.08503822463113E-10
4820,-1.78691868820532E-09,7.85146653444084E-10
4830,-1.72606097471133E-09,7.62437498908456E-10
4840,-1.6672871816677E-09,7.40359526575263E-10
4850,-1.61052554106713E-09,7.18896290275681E-10
4860,-1.55570677130719E-09,6.98031723530527E-10
4870,-1.5027639905174E-09,6.77750133103294E-10
4880,-1.45163263292654E-09,6.58036192538373E-10
4890,-1.40225036816292E-09,6.38874935693493E-10
4900,-1.35455702338419E-09,6.20251750274784E-10
4910,-1.30849450813669E-09,6.02152371382278E-10
4920,-1.26400674184818E-09,5.84562875073103E-10
4930,-1.22103958386106E-09,5.67469671949119E-10
